Day,Block,Surgery,Start,Duration,Finish,Specialty
Monday,0,0,0,0,0,GASTRO
Monday,0,1,195,0,195,GASTRO
Monday,1,2,0,0,0,CARD
Monday,1,3,100,0,100,CARD
Monday,1,4,230,0,230,CARD
Monday,2,5,0,0,0,ORTH
Monday,2,6,130,0,130,ORTH
Monday,2,7,290,0,290,ORTH
Monday,3,8,0,0,0,GYN
Monday,3,9,150,0,150,GYN
Monday,3,10,300,0,300,GYN
Monday,4,11,0,0,0,URO
Monday,4,12,120,0,120,URO
Monday,4,13,315,0,315,URO
Monday,5,14,0,0,0,CARD
Monday,5,15,195,0,195,CARD
Monday,6,16,120,0,120,URO
Monday,6,17,215,0,215,URO
Monday,6,18,325,0,325,URO
Tuesday,7,19,0,0,0,GASTRO
Tuesday,7,20,130,0,130,GASTRO
Tuesday,7,21,290,0,290,GASTRO
Tuesday,8,22,0,0,0,ORTH
Tuesday,8,23,210,0,210,ORTH
Tuesday,9,24,0,0,0,ORTH
Tuesday,9,25,195,0,195,ORTH
Tuesday,10,26,0,0,0,GYN
Tuesday,10,27,115,0,115,GYN
Tuesday,10,28,245,0,245,GYN
Tuesday,11,29,0,0,0,GYN
Tuesday,12,30,165,0,165,URO
Tuesday,12,31,315,0,315,URO
Wednesday,13,32,0,0,0,GASTRO
Wednesday,13,33,160,0,160,GASTRO
Wednesday,13,34,305,0,305,GASTRO
Wednesday,14,35,0,0,0,GASTRO
Wednesday,14,36,180,0,180,GASTRO
Wednesday,15,37,0,0,0,CARD
Wednesday,16,38,60,0,60,MED
Wednesday,16,39,160,0,160,MED
Wednesday,16,40,290,0,290,MED
Wednesday,17,41,0,0,0,GYN
Wednesday,17,42,102,0,102,GYN
Wednesday,17,43,205,0,205,GYN
Wednesday,17,44,323,0,323,GYN
Wednesday,19,45,90,0,90,URO
Wednesday,20,46,75,0,75,ORTH
Thursday,21,47,0,0,0,GASTRO
Thursday,22,48,0,0,0,ORTH
Thursday,22,49,180,0,180,ORTH
Thursday,23,50,0,0,0,GYN
Thursday,23,51,160,0,160,GYN
Thursday,23,52,305,0,305,GYN
Thursday,24,53,0,0,0,GYN
Thursday,24,54,90,0,90,GYN
Thursday,24,55,195,0,195,GYN
Thursday,24,56,300,0,300,GYN
Thursday,25,57,15,0,15,URO
Friday,26,58,0,0,0,GASTRO
Friday,26,59,150,0,150,GASTRO
Friday,27,60,0,0,0,CARD
Friday,28,61,0,0,0,ORTH
Friday,28,62,195,0,195,ORTH
Friday,29,63,15,0,15,GYN
Friday,29,64,120,0,120,GYN
Friday,30,65,120,0,120,URO
Friday,30,66,270,0,270,URO
Friday,31,67,75,0,75,CARD
Friday,31,68,195,0,195,CARD
Friday,31,69,285,0,285,CARD
