Day,Block,Surgery,Start,Duration,Finish,Specialty
Monday,0,0,0.0,0,0.0,GASTRO
Monday,0,1,138.0,0,138.0,GASTRO
Monday,0,2,277.0,0,277.0,GASTRO
Monday,1,3,0.0,0,0.0,CARD
Monday,1,4,160.0,0,160.0,CARD
Monday,1,5,320.0,0,320.0,CARD
Monday,3,6,0.0,0,0.0,GYN
Monday,3,7,120.0,0,120.0,GYN
Monday,3,8,240.0,0,240.0,GYN
Monday,3,9,360.0,0,360.0,GYN
Monday,4,10,0.0,0,0.0,URO
Monday,4,11,66.0,0,66.0,URO
Monday,4,12,152.0,0,152.0,URO
Monday,4,13,258.0,0,258.0,URO
Monday,4,14,384.0,0,384.0,URO
Monday,5,15,0.0,0,0.0,CARD
Monday,5,16,101.0,0,101.0,CARD
Monday,5,17,202.0,0,202.0,CARD
Monday,5,18,303.0,0,303.0,CARD
Tuesday,7,19,0.0,0,0.0,GASTRO
Tuesday,7,20,93.0,0,93.0,GASTRO
Tuesday,7,21,247.0,0,247.0,GASTRO
Tuesday,8,22,0.0,0,0.0,ORTH
Tuesday,8,23,146.0,0,146.0,ORTH
Tuesday,8,24,292.0,0,292.0,ORTH
Tuesday,9,25,0.0,0,0.0,ORTH
Tuesday,9,26,240.0,0,240.0,ORTH
Tuesday,11,27,0.0,0,0.0,GYN
Tuesday,11,28,97.0,0,97.0,GYN
Tuesday,11,29,165.0,0,165.0,GYN
Tuesday,11,30,247.0,0,247.0,GYN
Tuesday,11,31,329.0,0,329.0,GYN
Wednesday,13,32,0.0,0,0.0,GASTRO
Wednesday,15,33,0.0,0,0.0,CARD
Wednesday,15,34,101.0,0,101.0,CARD
Wednesday,16,35,0.0,0,0.0,MED
Wednesday,16,36,80.0,0,80.0,MED
Wednesday,16,37,161.0,0,161.0,MED
Wednesday,20,38,0.0,0,0.0,ORTH
Wednesday,20,39,160.0,0,160.0,ORTH
Wednesday,20,40,320.0,0,320.0,ORTH
Thursday,21,41,0.0,0,0.0,GASTRO
Thursday,21,42,240.0,0,240.0,GASTRO
Thursday,22,43,0.0,0,0.0,ORTH
Thursday,24,44,0.0,0,0.0,GYN
Thursday,24,45,82.0,0,82.0,GYN
Thursday,24,46,165.0,0,165.0,GYN
Thursday,24,47,247.0,0,247.0,GYN
Thursday,24,48,329.0,0,329.0,GYN
Thursday,25,49,0.0,0,0.0,URO
Friday,26,50,0.0,0,0.0,GASTRO
Friday,26,51,108.0,0,108.0,GASTRO
Friday,26,52,277.0,0,277.0,GASTRO
Friday,27,53,15.0,0,15.0,CARD
Friday,28,54,0.0,0,0.0,ORTH
Friday,28,55,240.0,0,240.0,ORTH
Friday,29,56,0.0,0,0.0,GYN
Friday,29,57,80.0,0,80.0,GYN
Friday,29,58,160.0,0,160.0,GYN
Friday,29,59,240.0,0,240.0,GYN
Friday,29,60,320.0,0,320.0,GYN
Friday,29,61,400.0,0,400.0,GYN
Friday,30,62,0.0,0,0.0,URO
Friday,30,63,72.0,0,72.0,URO
Friday,30,64,144.0,0,144.0,URO
Friday,30,65,216.0,0,216.0,URO
Friday,30,66,288.0,0,288.0,URO
Friday,30,67,360.0,0,360.0,URO
