Day,Block,Surgery,Start,Duration,Finish,Specialty
Monday,0,0,0,0,0,GASTRO
Monday,0,1,138,0,138,GASTRO
Monday,0,2,277,0,277,GASTRO
Monday,4,3,0,0,0,URO
Monday,4,4,72,0,72,URO
Monday,4,5,144,0,144,URO
Monday,4,6,216,0,216,URO
Monday,4,7,288,0,288,URO
Monday,4,8,360,0,360,URO
Monday,5,9,0,0,0,CARD
Monday,5,10,101,0,101,CARD
Monday,6,11,0,0,0,URO
Monday,6,12,72,0,72,URO
Monday,6,13,144,0,144,URO
Monday,6,14,216,0,216,URO
Monday,6,15,288,0,288,URO
Monday,6,16,360,0,360,URO
Tuesday,7,17,0,0,0,GASTRO
Tuesday,7,18,138,0,138,GASTRO
Tuesday,7,19,277,0,277,GASTRO
Tuesday,8,20,0,0,0,ORTH
Tuesday,8,21,146,0,146,ORTH
Tuesday,8,22,292,0,292,ORTH
Tuesday,9,23,0,0,0,ORTH
Tuesday,9,24,146,0,146,ORTH
Tuesday,9,25,292,0,292,ORTH
Tuesday,10,26,0,0,0,GYN
Tuesday,10,27,82,0,82,GYN
Tuesday,10,28,165,0,165,GYN
Tuesday,10,29,247,0,247,GYN
Tuesday,10,30,329,0,329,GYN
Tuesday,11,31,0,0,0,GYN
Tuesday,11,32,82,0,82,GYN
Tuesday,11,33,165,0,165,GYN
Tuesday,11,34,247,0,247,GYN
Tuesday,11,35,329,0,329,GYN
Wednesday,13,36,0,0,0,GASTRO
Wednesday,13,37,138,0,138,GASTRO
Wednesday,13,38,277,0,277,GASTRO
Wednesday,14,39,0,0,0,GASTRO
Wednesday,14,40,138,0,138,GASTRO
Wednesday,14,41,277,0,277,GASTRO
Wednesday,15,42,0,0,0,CARD
Wednesday,15,43,101,0,101,CARD
Wednesday,15,44,202,0,202,CARD
Wednesday,15,45,303,0,303,CARD
Wednesday,16,46,0,0,0,MED
Wednesday,16,47,80,0,80,MED
Wednesday,16,48,161,0,161,MED
Wednesday,20,49,0,0,0,ORTH
Wednesday,20,50,146,0,146,ORTH
Wednesday,20,51,292,0,292,ORTH
Thursday,21,52,0,0,0,GASTRO
Thursday,22,53,0,0,0,ORTH
Thursday,22,54,146,0,146,ORTH
Thursday,22,55,292,0,292,ORTH
Thursday,24,56,0,0,0,GYN
Thursday,24,57,82,0,82,GYN
Thursday,24,58,165,0,165,GYN
Thursday,24,59,247,0,247,GYN
Thursday,24,60,329,0,329,GYN
Friday,29,61,0,0,0,GYN
Friday,29,62,82,0,82,GYN
Friday,29,63,165,0,165,GYN
Friday,29,64,247,0,247,GYN
Friday,29,65,329,0,329,GYN
Friday,31,66,0,0,0,CARD
Friday,31,67,101,0,101,CARD
Friday,31,68,202,0,202,CARD
Friday,31,69,303,0,303,CARD
