Surgery,Block,Start,Real Start,Status,Specialty,BlockType,Arrival Day,Arrival Time,Day,Room
1,16,178.09829825564773,"[178.09829825564773, 226.28239749122562, 178.09829825564773, 224.3516906007642, 260.6371033909544, 178.09829825564773, 227.79556230783538, 446.0, 192.95177107910092, 183.59938452940398, 178.09829825564773, 268.54175733226276, 186.39167563213653, 178.09829825564773, 178.09829825564773, 178.09829825564773, 203.78087758679771, 178.09829825564773, 178.09829825564773, 182.51945156705204, 178.09829825564773, 250.17085224468497, 178.09829825564773, 217.6100274725227, 178.09829825564776, 178.09829825564773, 366.6890028857562, 178.09829825564773, 241.27528751892405, 555.0, 226.6288100269293, 178.09829825564773, 198.61740902159914, 178.09829825564773, 233.57588164060587, 178.09829825564773, 228.80171657884523, 216.42734596956655, 205.75954877043716, 178.09829825564773, 319.7076241254625, 344.6332637464293, 212.14510605881114, 196.1765605488752, 178.09829825564773, 178.09829825564773, 189.74737145261014, 191.556841440849, 189.5399217277737, 195.9636319476916, 178.09829825564773, 178.09829825564773, 199.7009353417062, 178.09829825564773, 178.09829825564773, 178.09829825564773, 201.03509731177633, 220.0, 225.25429608584105, 328.6203224721021, 178.09829825564773, 178.09829825564773, 178.09829825564773, 182.93988032959825, 178.09829825564773, 178.09829825564773, 178.09829825564773, 269.67355219137056, 226.33454379377594, 607.3582786223637, 231.9519404509473, 183.12914703859158, 258.62566195534833, 178.09829825564773, 255.21335426482307, 321.70727976445016, 181.9395220953469, 234.0510667166662, 178.09829825564773, 178.09829825564773, 182.00145900299444, 178.09829825564773, 178.09829825564773, 292.6967172136078, 178.09829825564773, 178.09829825564773, 178.09829825564773, 178.09829825564773, 265.23196743861007, 178.09829825564773, 198.91088420732115, 178.09829825564773, 178.09829825564773, 205.73989480267377, 178.09829825564773, 264.14211200682, 298.543202889226, 450.28957894697623, 178.09829825564773, 178.09829825564773]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",MED,MED,-,-,Wednesday,4
2,16,81.34792518882367,"[81.34792518882367, 171.95578408258558, 81.34792518882367, 81.34792518882367, 181.38539582844484, 81.34792518882367, 81.34792518882367, 81.34792518882367, 102.01209752861729, 117.26096036348717, 81.34792518882367, 194.0, 81.34792518882367, 81.34792518882367, 99.71293180959542, 81.34792518882367, 81.34792518882367, 81.34792518882367, 88.97480711033785, 81.34792518882367, 95.42707779580662, 144.08450969665572, 81.34792518882367, 113.42386177632235, 81.34792518882367, 81.34792518882367, 265.4507462644677, 81.34792518882367, 81.34792518882367, 81.34792518882367, 81.34792518882367, 87.93532557254592, 81.34792518882367, 81.34792518882367, 143.91633341292157, 85.49608610641477, 81.34792518882367, 161.30860606588945, 156.72356559392537, 81.34792518882367, 285.0, 81.34792518882367, 115.64192747153344, 81.34792518882367, 115.99560901163329, 104.17843975603849, 81.34792518882367, 163.98280438087522, 81.34792518882367, 113.28829129407636, 81.34792518882367, 81.34792518882367, 124.11506437175751, 81.34792518882367, 93.52867275522156, 88.74947208267335, 125.75980584135978, 81.34792518882367, 165.18275289769298, 200.4707638561851, 81.34792518882367, 81.34792518882367, 81.34792518882367, 114.51677356234025, 81.34792518882367, 81.34792518882367, 81.34792518882367, 81.34792518882367, 112.25462600011053, 518.334700290809, 231.9519404509473, 81.34792518882367, 141.01432834941727, 81.34792518882367, 112.18536739514998, 81.34792518882367, 81.34792518882367, 81.34792518882367, 81.34792518882367, 81.34792518882367, 81.34792518882367, 84.21252078993305, 90.43587833488658, 260.0, 81.34792518882367, 111.99237202818274, 81.34792518882367, 107.16713512920248, 138.3968254772031, 81.34792518882367, 97.4041729687507, 81.34792518882367, 81.34792518882367, 81.34792518882367, 81.34792518882367, 91.87096124304398, 206.43576766253312, 144.9444310296929, 81.34792518882367, 84.24843835894828]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
3,16,277.72150090394945,"[277.72150090394945, 334.93155487238363, 277.72150090394945, 348.05697186805247, 375.32136329251483, 277.72150090394945, 286.5598301256078, 518.6122998453845, 277.72150090394945, 294.6383708627729, 277.72150090394945, 303.1527097878137, 277.72150090394945, 277.72150090394945, 408.07160169725694, 395.5651493395344, 277.72150090394945, 277.72150090394945, 277.72150090394945, 277.72150090394945, 299.0755486072979, 329.6011703847466, 279.52386784118863, 277.72150090394945, 277.72150090394945, 277.72150090394945, 412.660906007249, 277.72150090394945, 284.0732442672862, 594.8929562867714, 282.2324568461412, 277.72150090394945, 278.1718355050533, 277.72150090394945, 277.72150090394945, 277.72150090394945, 376.21187173093733, 277.72150090394945, 283.6369183681283, 412.75051943616927, 367.7858286311006, 463.75564584953713, 290.63365121511055, 277.72150090394945, 277.72150090394945, 277.72150090394945, 277.72150090394945, 277.72150090394945, 277.72150090394945, 418.4371003331124, 277.72150090394945, 319.9547817580612, 277.72150090394945, 294.6582188575709, 277.72150090394945, 287.21968534303323, 277.72150090394945, 277.72150090394945, 322.9837257993327, 368.5344727089826, 277.72150090394945, 306.76888807309194, 277.72150090394945, 277.72150090394945, 277.72150090394945, 277.72150090394945, 293.5585169628175, 301.2383691413092, 279.1387103063761, 647.5503303547401, 284.7770661386733, 277.72150090394945, 319.9991611231415, 277.72150090394945, 312.3738170892181, 383.6304203558795, 277.72150090394945, 277.72150090394945, 344.28216790981344, 277.72150090394945, 277.72150090394945, 277.72150090394945, 277.72150090394945, 377.7595933508723, 277.72150090394945, 277.72150090394945, 277.72150090394945, 277.72150090394945, 307.40098471014034, 277.72150090394945, 277.72150090394945, 382.1805034775486, 277.72150090394945, 277.72150090394945, 277.72150090394945, 326.5301636665488, 355.58280960838295, 304.837217993754, 277.72150090394945, 277.72150090394945]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
4,16,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 122.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 159.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 445.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
5,16,363.0188281022736,"[363.0188281022736, 366.7224480722434, 442.2985501875239, 431.01597165457366, 459.32511599436936, 363.0188281022736, 363.0188281022736, 551.7609865016447, 363.0188281022736, 365.43915551554113, 363.0188281022736, 385.5032177715738, 466.66628602613594, 363.0188281022736, 461.81232860053, 428.0384515697908, 453.996718815571, 363.0188281022736, 371.7279921290132, 621.3454286239412, 370.59636354059694, 385.66700393406796, 364.208636536674, 363.0188281022736, 384.8381274934894, 363.0188281022736, 444.24053978328686, 363.0188281022736, 363.0188281022736, 664.5836456526372, 421.3336871739919, 363.0188281022736, 363.0188281022736, 386.64435798876343, 363.0188281022736, 363.0188281022736, 470.68373363592053, 363.0188281022736, 363.0188281022736, 428.21610771173005, 393.1923392453066, 504.80045752013626, 434.1466511977874, 412.1277423323554, 363.0188281022736, 363.0188281022736, 363.0188281022736, 363.0188281022736, 363.0188281022736, 507.60441391710384, 363.0188281022736, 363.0188281022736, 363.0188281022736, 390.3144259318284, 363.0188281022736, 368.9587982939156, 363.0188281022736, 461.0, 384.64170934164827, 467.459252728342, 363.0188281022736, 375.8822161322099, 363.0188281022736, 411.9438955003016, 363.0188281022736, 363.0188281022736, 363.0188281022736, 363.0188281022736, 363.0188281022736, 685.4639350383745, 465.4828785305155, 363.0188281022736, 435.8757877378897, 363.0188281022736, 398.2470790154992, 450.4254519340049, 363.0188281022736, 363.0188281022736, 432.2283141125226, 363.0188281022736, 389.5289074125227, 363.0188281022736, 423.87520775907944, 466.2066562149364, 363.0188281022736, 388.45378859279685, 370.0704685954139, 363.0188281022736, 363.0188281022736, 363.0188281022736, 363.0188281022736, 461.9025344208009, 363.0188281022736, 394.26060158696816, 363.0188281022736, 411.62635203379295, 382.9628493504906, 363.0188281022736, 363.0188281022736, 392.1577247215823]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MED,MED,-,-,Wednesday,4
6,11,299.86391800460586,"[444.93352003486956, 299.86391800460586, 518.1557320743178, 299.86391800460586, 299.86391800460586, 398.634807946752, 396.58489366751866, 299.86391800460586, 491.9209612605546, 509.40728882201455, 299.86391800460586, 588.2344682901005, 299.86391800460586, 299.86391800460586, 309.6489539564991, 373.7780743762855, 398.186280590176, 438.86989435098496, 309.8967933135337, 496.93584818669507, 299.86391800460586, 299.86391800460586, 453.0, 318.4162000132019, 550.3151281865428, 369.4947845183616, 492.68869087873327, 303.0439174184058, 360.27840512830846, 299.86391800460586, 299.86391800460586, 299.86391800460586, 299.86391800460586, 317.2025478135474, 308.13288762934883, 473.56390559178993, 299.86391800460586, 299.86391800460586, 299.86391800460586, 416.0410165151736, 312.8501435132191, 299.86391800460586, 524.0150073551436, 299.86391800460586, 346.33550116604306, 299.86391800460586, 323.3400277608899, 312.78165930622663, 362.53284412698866, 445.3740918803812, 299.86391800460586, 299.86391800460586, 444.6632314428558, 362.1757719054425, 366.4121123589734, 299.86391800460586, 335.3881823141465, 299.86391800460586, 299.86391800460586, 485.0, 299.86391800460586, 508.43971759221296, 334.06399154027076, 383.13923781220353, 299.86391800460586, 428.2821497265222, 566.6446738961462, 299.86391800460586, 299.86391800460586, 318.1033044404308, 299.86391800460586, 299.86391800460586, 405.98414070820667, 299.86391800460586, 380.7370659200904, 659.3126864774541, 305.4522282802867, 477.86662832234657, 299.86391800460586, 299.86391800460586, 340.6311840751885, 299.86391800460586, 299.86391800460586, 313.94496762582287, 504.18910514506535, 325.4409781650919, 299.86391800460586, 299.86391800460586, 299.86391800460586, 674.2687877158054, 299.86391800460586, 399.8548659525186, 299.86391800460586, 299.86391800460586, 299.86391800460586, 299.86391800460586, 299.86391800460586, 387.33353903539864, 301.0147292142145, 299.86391800460586]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Tuesday,7
7,18,341.26605512706044,"[643.6209335983262, 341.26605512706044, 341.26605512706044, 358.72629024427977, 341.26605512706044, 341.26605512706044, 341.26605512706044, 472.6326988985744, 477.383304289378, 403.9425302232677, 471.42170070514874, 341.26605512706044, 445.2559697300378, 341.26605512706044, 351.5680098498512, 341.26605512706044, 341.26605512706044, 341.26605512706044, 341.26605512706044, 341.26605512706044, 383.8625794255422, 341.26605512706044, 490.5144742101155, 341.26605512706044, 402.81160144572345, 341.26605512706044, 341.26605512706044, 660.6266820970743, 341.26605512706044, 341.26605512706044, 341.26605512706044, 341.26605512706044, 367.942624815739, 384.1011065367319, 341.26605512706044, 341.26605512706044, 692.0595862381812, 551.9523988099359, 341.26605512706044, 341.26605512706044, 341.26605512706044, 341.26605512706044, 356.5563191640568, 341.26605512706044, 341.26605512706044, 341.26605512706044, 353.23218029970417, 412.8121301405404, 341.26605512706044, 448.17710519226796, 341.26605512706044, 341.26605512706044, 483.0, 341.26605512706044, 341.26605512706044, 341.26605512706044, 341.26605512706044, 341.26605512706044, 349.9722169943632, 464.3445445165099, 341.26605512706044, 638.8810793576656, 341.26605512706044, 345.9861927735398, 362.60122480201045, 366.5885543180171, 351.5340045115091, 473.805855806043, 341.26605512706044, 603.6914623683246, 341.26605512706044, 341.26605512706044, 341.26605512706044, 437.09623245867897, 341.26605512706044, 341.26605512706044, 538.5330440639598, 341.26605512706044, 350.3842871070832, 341.26605512706044, 341.26605512706044, 341.26605512706044, 341.26605512706044, 406.22925494936976, 436.6279149856366, 341.26605512706044, 341.26605512706044, 390.53004651569165, 424.8200196011661, 341.26605512706044, 341.26605512706044, 515.362857869879, 341.26605512706044, 341.26605512706044, 341.26605512706044, 392.3902601214601, 484.63559032803045, 341.26605512706044, 341.26605512706044, 341.26605512706044]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Wednesday,6
9,17,318.9221729593287,"[318.9221729593287, 318.9221729593287, 318.9221729593287, 387.42613917282813, 330.1279393332651, 389.8690383402011, 318.9221729593287, 439.2906021585954, 318.9221729593287, 318.9221729593287, 524.9130762748056, 624.4000304415246, 351.4162882538532, 353.7920267275681, 568.0, 318.9221729593287, 649.0393584005393, 318.9221729593287, 347.0079457530008, 327.5851115768708, 438.9144848111508, 381.15006899086677, 318.9221729593287, 318.9221729593287, 318.9221729593287, 347.2188467709601, 342.2842907110679, 318.9221729593287, 318.9221729593287, 318.9221729593287, 318.9221729593287, 380.3218697848233, 408.4154731992512, 318.9221729593287, 385.0108172310138, 514.3693443089728, 460.1888330833433, 318.9221729593287, 318.9221729593287, 318.9221729593287, 318.9221729593287, 320.9638174753332, 318.9221729593287, 318.9221729593287, 318.9221729593287, 318.9221729593287, 636.0, 318.9221729593287, 448.50646276208454, 318.9221729593287, 318.9221729593287, 511.0439465194009, 462.9079580033432, 318.9221729593287, 318.9221729593287, 370.6301567727771, 323.0401750977358, 547.8505269837376, 318.9221729593287, 318.9221729593287, 318.9221729593287, 439.31220371596834, 318.9221729593287, 318.9221729593287, 318.9221729593287, 318.9221729593287, 352.1995010806967, 332.65855171382174, 318.9221729593287, 318.9221729593287, 322.176032379103, 318.9221729593287, 318.9221729593287, 349.5724100779585, 757.0470039782347, 407.1438101962618, 318.9221729593287, 533.5301386607646, 344.96476746244355, 318.9221729593287, 357.0020927471494, 428.28209458615515, 525.1028122263825, 318.9221729593287, 478.53697114036, 318.9221729593287, 705.7493579679867, 318.9221729593287, 451.92128448487887, 549.8784088191558, 362.26416750649526, 318.9221729593287, 318.9221729593287, 372.2171558394697, 358.4670975836522, 318.9221729593287, 408.3810508359331, 318.9221729593287, 318.9221729593287, 333.3348730764193]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Wednesday,5
10,23,147.765178355165,"[650.0, 147.76517835516492, 147.76517835516495, 147.765178355165, 147.765178355165, 180.14548812333211, 147.765178355165, 147.765178355165, 252.07721040742146, 147.76517835516495, 316.0, 147.765178355165, 147.765178355165, 179.332756645536, 147.765178355165, 149.4747582056291, 147.76517835516506, 727.0, 172.68002668188782, 148.80430846041344, 147.765178355165, 657.2250621323949, 463.6449717891703, 147.765178355165, 246.08101047469907, 147.765178355165, 261.16103605841215, 147.765178355165, 160.78079325159698, 147.765178355165, 147.76517835516506, 441.1285809082393, 147.76517835516495, 147.765178355165, 147.765178355165, 525.5212344585644, 147.765178355165, 273.5219127089237, 147.765178355165, 391.0, 771.2341190943034, 258.0, 147.765178355165, 147.765178355165, 333.0, 147.765178355165, 147.765178355165, 416.0, 147.765178355165, 147.765178355165, 292.8943621317589, 268.8170691044241, 224.0, 164.65486435123833, 147.765178355165, 224.50977539927493, 554.0, 147.765178355165, 545.4500363742615, 284.98166374855765, 147.76517835516503, 147.76517835516495, 147.76517835516506, 147.765178355165, 147.76517835516495, 147.765178355165, 147.765178355165, 241.85314014980167, 464.01553333242873, 151.04263511711466, 147.765178355165, 210.04921116169677, 699.7175529035011, 147.765178355165, 147.76517835516495, 460.6425465180425, 147.765178355165, 147.76517835516498, 147.765178355165, 147.765178355165, 147.765178355165, 438.464293335902, 410.0, 147.765178355165, 147.76517835516498, 147.765178355165, 152.77801547800925, 147.76517835516495, 192.64370073367309, 147.765178355165, 147.765178355165, 147.765178355165, 378.03634492028885, 147.765178355165, 198.47717536235717, 147.765178355165, 150.30623955570428, 147.76517835516495, 510.50664670571445, 147.765178355165]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Thursday,6
12,10,117.40055327337306,"[659.0, 117.40055327337298, 117.4005532733725, 117.40055327337308, 192.4622807776437, 138.04692186134207, 117.40055327337295, 117.40055327337302, 117.40055327337306, 234.30213137312, 117.40055327337306, 117.40055327337159, 117.40055327337086, 117.4005532733729, 117.40055327337086, 398.1387353577811, 117.40055327337288, 284.22378392677746, 117.40055327337298, 117.40055327337377, 117.40055327337306, 117.40055327337306, 117.40055327337308, 176.0, 382.0, 117.40055327337254, 404.83845591744773, 117.40055327337306, 142.19021626079757, 125.24398203255892, 117.40055327337306, 117.40055327337306, 117.40055327337302, 125.13421169889234, 117.40055327337298, 545.0, 117.40055327337305, 117.40055327337306, 117.40055327337306, 201.48446651644, 117.40055327337306, 457.0, 117.40055327337299, 117.40055327337306, 117.40055327337306, 509.0, 434.255592993103, 117.40055327337306, 144.9876264195827, 432.9987811902771, 117.40055327337306, 311.0, 117.40055327337306, 117.40055327337306, 218.0, 117.40055327337308, 117.40055327337302, 117.40055327337298, 117.40055327337306, 228.6031291085519, 117.40055327337306, 117.40055327337298, 303.3467311602637, 121.01073857683394, 117.40055327337306, 663.0, 117.40055327337305, 117.40055327337306, 117.40055327337306, 117.40055327337305, 117.40055327337305, 309.5800746932175, 117.40055327337289, 117.40055327337306, 117.40055327337306, 163.2791947666455, 187.24112354120876, 228.36134081927878, 117.40055327337299, 117.40055327337306, 117.40055327337082, 207.14284164279428, 117.40055327337305, 117.40055327337302, 135.27511948340629, 117.40055327337308, 117.40055327337294, 200.8325428090981, 117.40055327337294, 119.29398191947284, 169.25454063023537, 117.4005532733726, 121.37087680564902, 117.40055327337242, 637.5084172753021, 201.01908552917047, 117.40055327337299, 117.40055327337308, 117.40055327337308, 117.40055327337306]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",GYN,GYN,-,-,Tuesday,6
