Model,SolvedOptimally,SolutionCount,ObjectiveBound,SolveTime,TimeOut,OptimalityGap,BestObjective
FirstStage,True,10,7944.941274893143,19.461482048034668,False,0.0,7944.941274893145
SecondStage,True,2,7665.383894980431,0.43293190002441406,False,0.0,7665.383894980431
block0,True,1,591.4227216180652,0.19716191291809082,False,0.0,591.4227216180641
block1,True,1,562.5999561640742,0.02477407455444336,False,0.0,562.5999561640739
block2,True,2,243.7135657965582,0.01689887046813965,False,0.0,243.71356579655838
block3,True,1,319.1978090550883,0.08197402954101562,False,0.0,319.1978090550888
block4,True,1,360.28045994244076,0.039134979248046875,False,0.0,360.28045994244127
block5,True,1,354.06260454921494,0.015575170516967773,False,0.0,354.0626045492148
block6,True,1,519.4566499798534,0.010483026504516602,False,0.0,519.4566499798531
block7,True,3,645.729790526842,0.12079596519470215,False,0.0,645.7297905268421
block8,True,1,643.8506150243807,0.025198936462402344,False,0.0,643.8506150243809
block9,True,1,385.25128624266927,0.017329931259155273,False,0.0,385.2512862426694
block10,True,1,686.9747345973456,0.01712799072265625,False,0.0,686.9747345973444
block11,True,1,373.6817293215486,0.017918109893798828,False,0.0,373.68172932154886
block12,True,1,379.3078989943697,0.018779993057250977,False,0.0,379.3078989943696
block13,True,3,874.2359057636427,0.06025195121765137,False,0.0,874.2359057636444
block14,True,3,405.5318717316345,0.045747995376586914,False,0.0,405.5318717316351
block15,True,1,466.93728506517573,0.021023988723754883,False,0.0,466.93728506517624
block16,True,2,260.6257465028939,0.11188983917236328,False,0.0,260.6257465028942
block17,True,2,468.16183805856826,0.033738136291503906,False,0.0,468.1618380585683
block18,True,1,390.29492698077274,0.04250907897949219,False,0.0,390.2949269807731
block19,True,1,379.84474374496676,0.012567996978759766,False,0.0,379.84474374496676
block20,True,1,236.295503330442,0.01524209976196289,False,0.0,236.29550333044176
block21,True,1,847.4832931182541,0.03992486000061035,False,0.0,847.4832931182525
block22,True,1,436.0227893476317,0.026996135711669922,False,0.0,436.02278934763217
block23,True,1,516.6792807848724,0.09061288833618164,False,0.0,516.6792807848726
block24,True,1,326.32574193108985,0.07573103904724121,False,0.0,326.3257419310906
block25,True,1,583.3670924000053,0.030349016189575195,False,0.0,583.3670924000049
block26,True,1,815.2382085296376,0.040946006774902344,False,0.0,815.2382085296373
block27,True,1,482.1961682055553,0.03289294242858887,False,0.0,482.1961682055555
block28,True,4,329.3947967825952,0.02971792221069336,False,0.0,329.39479678259534
block29,True,1,365.87072767698237,0.0395510196685791,False,0.0,365.87072767698214
block30,True,1,626.0421646476825,0.027413129806518555,False,0.0,626.0421646476821
